Description,Part Number,Distributor,Link,Unit Cost,Quantity,Total Cost,Notes,Potential Alternative
Line Laser Diode - 5mW 650nm Red,1057,Adafruit,https://www.adafruit.com/product/1057,$8.95 ,1,$8.95 ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
